month,revenue,orders,paid_amt,return_amt,avg_order_value,z_score,is_anomaly,deviation_pct
2025-10,1574124691.11,99613,1111715794.44,42012358.11,15802.40220764358,-0.6245593974513608,False,-14.324546721595965
2025-11,1629425563.95,96715,1146334894.79,45994323.5,16847.702672284548,-0.37746249458889897,False,-8.657269687163627
2025-12,3941135210.63,99304,2776700772.13,103635789.85,39687.57764672118,5.021618974190114,True,115.17305785066023
2026-01,4067585659.76,99524,2851192452.96,108834004.09,40870.39970017283,5.301224385200531,True,121.58593193433246
2026-02,699050099.57,90179,493750246.25,18810278.23,7751.805848035574,-2.527626978444171,True,-57.97224554660503
2026-03,1828074281.34,99165,1289349067.59,48968364.39,18434.67232733323,-0.002321279250468089,False,-0.05323956890711523
2026-04,1778792666.21,96389,1253319576.71,50146443.41,18454.311863490646,0.002321279250468949,False,0.05323956890714854
2026-05,1872786097.91,99291,1322091135.04,49803391.47,18861.58964971649,0.09859702291011808,False,2.2613664401651246
2026-06,3444745045.84,96146,2435387611.24,93092066.79,35828.272063736404,4.109323907830519,True,94.24916597540074
2026-07,2641171078.86,99302,1855569381.89,71444090.76,26597.360363940305,1.9272434737613393,False,44.20218364568787
2026-08,1597941432.22,99433,1127503835.15,44742731.95,16070.53425140547,-0.5611760930207998,False,-12.870822529165704
2026-09,891068181.97,57937,628560029.43,25460748.34,15379.950324835598,-0.7244221215018297,False,-16.614942578650037
