customer_id,customer_name,region,recency,frequency,monetary,R_score,F_score,M_score,RFM_total,segment,cluster_name
b5bb27e110384ade8e0cd649da3d3f1a,中兴通讯科技集团(8),西南,0,3916,92968642.08,2,5,5,12,重要保持客户,高价值客户群
159612c2331f4307b7b7d9df9d5af4cc,亿纬锂能股份公司(2),西南,0,3851,90979868.23,5,5,5,15,重要价值客户,高价值客户群
a3c36a024df34dc1859c0dfecc9c7377,海尔智能科技有限公司(5),西南,0,3913,90932043.81,3,5,5,13,重要价值客户,高价值客户群
b90204384ada402da1c671d27250b8a5,上汽集团股份公司(3),西南,0,3933,90778506.2,2,5,5,12,重要保持客户,高价值客户群
d4cc12d4b3714ffe9baeb04c9a9f7955,鞍钢集团股份公司(7),西南,0,3857,90682673.45,1,5,5,11,重要保持客户,高价值客户群
4e1efc7ebfce4ef18feb878767c93fb9,华为技术设备公司(4),西南,0,3908,90677824.13,4,5,5,14,重要价值客户,高价值客户群
c14a97126005422a988dce100637bb90,哈电集团设备制造(2),西南,0,3809,90670644.11,2,4,5,11,重要保持客户,高价值客户群
ad0c36fd75184977b1f8efd82f3c558a,上汽集团股份公司(2),西南,0,3852,90600521.62,2,5,5,12,重要保持客户,高价值客户群
3ed56ff05d6544bdb100c2cb8eaa400a,中国船舶集团(1),西南,0,3861,90406310.16,4,5,5,14,重要价值客户,高价值客户群
f5bb6b23cbaa49bea82aad25c2a41ad4,宁德时代新能源科技(8),西南,0,3877,89930492.14,1,5,5,11,重要保持客户,高价值客户群
02a7fa4b20b148728760b073f170c9f9,江铃汽车股份公司(1),西南,0,3858,89884280.09,5,5,5,15,重要价值客户,高价值客户群
746299299cc741da8cce4bfca1cb330d,宇通客车股份公司(6),西南,0,3830,89855412.73,3,5,5,13,重要价值客户,高价值客户群
0af6cecdff144549a33033128cc98f38,东风汽车股份公司(1),西南,0,3889,89844881.53,5,5,5,15,重要价值客户,高价值客户群
a0c3d650d9fa41379e15d770f55cc9e1,柳工机械股份公司(2),西南,0,3846,89821202.86,3,5,5,13,重要价值客户,高价值客户群
6fa053d00219449c90f0d1a1aa51f769,海康威视股份公司(1),西南,0,3931,89783899.95,3,5,5,13,重要价值客户,高价值客户群
9839cdebbf424afc8050b1520008dfca,东风汽车股份公司(5),西南,0,3848,89627308.55,3,5,5,13,重要价值客户,高价值客户群
fb9dae14dad64311bbd5abcd6efc305a,浪潮电子信息股份(5),西南,0,3892,89577843.57,1,5,5,11,重要保持客户,高价值客户群
c273dd3eb96f4b129836e333dfc3620b,大族激光科技集团(9),西南,0,3802,89543528.19,2,4,5,11,重要保持客户,中高价值客户群
eebefc2bd16e4bbc9dbc7c277560546b,中国重汽集团(5),西南,0,3771,89213236.15,1,3,5,9,重要保持客户,中高价值客户群
02d6a4a47d3847ea9ac3282e30db565d,中国通号科技集团(1),西南,0,3893,89203124.19,5,5,5,15,重要价值客户,高价值客户群
09a559bd12a24fb2bcbd836b3c5cce06,宝武钢铁集团股份(1),西南,0,3845,89173887.42,5,5,5,15,重要价值客户,高价值客户群
f1a6621a31b7421aa689478996142466,三一重工设备制造(4),西南,0,3853,89098140.2,1,5,5,11,重要保持客户,高价值客户群
79ab81597dec45b5bd6ffe508d168815,中兴通讯科技集团(5),西南,0,3838,89065065.06,3,5,5,13,重要价值客户,高价值客户群
cdac854c101348c784229b739b2229ae,联想电子科技有限公司(5),西南,0,3881,89022606.3,2,5,5,12,重要保持客户,高价值客户群
ac44c353609e494cb144fc41b9852f77,鞍钢集团股份公司(6),西南,0,3800,88982049.78,2,4,5,11,重要保持客户,中高价值客户群
0579da46d0ab4751aadd97f446faae84,华为技术设备公司(2),西南,0,3831,88977329.66,5,5,5,15,重要价值客户,中高价值客户群
e762e901cec64c2db83721ce8487052b,东风汽车股份公司(7),西南,0,3883,88927241.8,1,5,5,11,重要保持客户,高价值客户群
a77b864eaa3c438b9a9db8a692601bd8,汇川技术股份公司(6),西南,0,3901,88902048.79,3,5,5,13,重要价值客户,高价值客户群
cf272075753d4da2930a72aba7fe29a8,华为技术设备公司(9),西南,0,3805,88866364.04,2,4,5,11,重要保持客户,中高价值客户群
3f0427d1ff6c499a8094ed6c862119e7,哈电集团设备制造(1),西南,0,3783,88864661.53,4,3,5,12,重要价值客户,中高价值客户群
ecb167ca960844f6906d242fac372a26,中国航空工业集团(5),西南,0,3848,88859597.16,1,5,5,11,重要保持客户,高价值客户群
61fcbc8436734e79b96d5c8c03d93ba7,亿纬锂能股份公司(3),西南,0,3830,88854514.45,4,5,5,14,重要价值客户,中高价值客户群
